,state,county,candidate,party,total_votes,won,fips,state_code,male,female,median_age,population,female_percentage,lat,long,color,year,DEM_Rate,REP_Rate,Metro_DEM_Votes,Metro_REP_Votes,Metro_DEM_Rate,Metro_REP_Rate,Race,2016,2020,% increase,fact,Arizona,Georgia,South Carolina
2584,Indiana,Warrick County,Donald Trump,REP,21326,TRUE,18173,IN,30409,31519,40.9,61928,50.89620204,38.09217365,-87.27208737,red,,,,,,,,,,,,,,,
2588,Indiana,Washington County,Donald Trump,REP,9114,TRUE,18175,IN,13892,13935,41.5,27827,50.07726309,38.599998,-86.10530522,red,,,,,,,,,,,,,,,
2592,Indiana,Wayne County,Donald Trump,REP,17567,TRUE,18177,IN,32288,34325,40.9,66613,51.52898083,39.86438236,-85.00983824,red,,,,,,,,,,,,,,,
2596,Indiana,Wells County,Donald Trump,REP,10855,TRUE,18179,IN,13773,14174,39.8,27947,50.71742942,40.72918907,-85.221194,red,,,,,,,,,,,,,,,
2600,Indiana,White County,Donald Trump,REP,7957,TRUE,18181,IN,12143,12074,41.9,24217,49.85753809,40.74975986,-86.86548809,red,,,,,,,,,,,,,,,
2604,Indiana,Whitley County,Donald Trump,REP,12862,TRUE,18183,IN,16702,16947,40.8,33649,50.36405242,41.13938041,-85.50512035,red,,,,,,,,,,,,,,,
2608,Iowa,Adair County,Donald Trump,REP,2917,TRUE,19001,IA,3516,3608,45.4,7124,50.64570466,41.33074049,-94.47096641,red,,,,,,,,,,,,,,,
2618,Iowa,Adams County,Donald Trump,REP,1530,TRUE,19003,IA,1854,1872,47.3,3726,50.24154589,41.02897522,-94.69916586,red,,,,,,,,,,,,,,,
2628,Iowa,Allamakee County,Donald Trump,REP,4735,TRUE,19005,IA,7045,6835,44.8,13880,49.24351585,43.2842824,-91.37805333,red,,,,,,,,,,,,,,,
2638,Iowa,Appanoose County,Donald Trump,REP,4512,TRUE,19007,IA,6154,6356,45.4,12510,50.80735412,40.74317009,-92.86861877,red,,,,,,,,,,,,,,,
2648,Iowa,Audubon County,Donald Trump,REP,2295,TRUE,19009,IA,2758,2879,49,5637,51.07326592,41.68460203,-94.90581788,red,,,,,,,,,,,,,,,
2658,Iowa,Benton County,Donald Trump,REP,9188,TRUE,19011,IA,12783,12843,42.6,25626,50.1170686,42.08018646,-92.06574297,red,,,,,,,,,,,,,,,
2668,Iowa,Black Hawk County,Joe Biden,DEM,35647,TRUE,19013,IA,65309,67700,34.9,133009,50.89881136,42.47009069,-92.30882457,blue,,,,,,,,,,,,,,,
2678,Iowa,Boone County,Donald Trump,REP,8695,TRUE,19015,IA,13310,13089,41.8,26399,49.58142354,42.03650207,-93.93163339,red,,,,,,,,,,,,,,,
2688,Iowa,Bremer County,Donald Trump,REP,8294,TRUE,19017,IA,12274,12508,39.7,24782,50.47211686,42.77458652,-92.31805393,red,,,,,,,,,,,,,,,
2698,Iowa,Buchanan County,Donald Trump,REP,6420,TRUE,19019,IA,10451,10674,38.7,21125,50.52781065,42.47080625,-91.83784663,red,,,,,,,,,,,,,,,
2708,Iowa,Buena Vista County,Donald Trump,REP,5056,TRUE,19021,IA,10238,10022,35.2,20260,49.46692991,42.73549599,-95.1511346,red,,,,,,,,,,,,,,,
2718,Iowa,Butler County,Donald Trump,REP,5542,TRUE,19023,IA,7381,7354,44.1,14735,49.9083814,42.73156851,-92.79018092,red,,,,,,,,,,,,,,,
2728,Iowa,Calhoun County,Donald Trump,REP,3689,TRUE,19025,IA,5044,4736,45.1,9780,48.42535787,42.38518551,-94.64040362,red,,,,,,,,,,,,,,,
2738,Iowa,Carroll County,Donald Trump,REP,7737,TRUE,19027,IA,9988,10356,41.7,20344,50.90444357,42.0362079,-94.8605656,red,,,,,,,,,,,,,,,
2748,Iowa,Cass County,Donald Trump,REP,4969,TRUE,19029,IA,6547,6644,44.9,13191,50.36767493,41.33149982,-94.92783803,red,,,,,,,,,,,,,,,
2758,Iowa,Cedar County,Donald Trump,REP,6161,TRUE,19031,IA,9161,9284,42,18445,50.33342369,41.77232044,-91.13243117,red,,,,,,,,,,,,,,,
2768,Iowa,Cerro Gordo County,Donald Trump,REP,12442,TRUE,19033,IA,20850,22134,44.5,42984,51.49357901,43.08155753,-93.26081364,red,,,,,,,,,,,,,,,
2778,Iowa,Cherokee County,Donald Trump,REP,4495,TRUE,19035,IA,5796,5672,46.8,11468,49.45936519,42.73561393,-95.62381555,red,,,,,,,,,,,,,,,
2788,Iowa,Chickasaw County,Donald Trump,REP,4308,TRUE,19037,IA,6058,6041,44.3,12099,49.92974626,43.06005148,-92.3176755,red,,,,,,,,,,,,,,,
2798,Iowa,Clarke County,Donald Trump,REP,3144,TRUE,19039,IA,4689,4593,39.5,9282,49.48287007,41.02901429,-93.7851537,red,,,,,,,,,,,,,,,
2808,Iowa,Clay County,Donald Trump,REP,6137,TRUE,19041,IA,8051,8262,42.7,16313,50.64672347,43.08257226,-95.15093604,red,,,,,,,,,,,,,,,
2818,Iowa,Clayton County,Donald Trump,REP,6106,TRUE,19043,IA,8900,8772,47.1,17672,49.63784518,42.84472017,-91.34142923,red,,,,,,,,,,,,,,,
2828,Iowa,Clinton County,Donald Trump,REP,13361,TRUE,19045,IA,23126,24092,42.2,47218,51.02291499,41.89802868,-90.53196563,red,,,,,,,,,,,,,,,
2838,Iowa,Crawford County,Donald Trump,REP,4854,TRUE,19047,IA,8547,8585,37.8,17132,50.11090357,42.03720375,-95.38198703,red,,,,,,,,,,,,,,,
2848,Iowa,Dallas County,Donald Trump,REP,27987,TRUE,19049,IA,41367,42635,35.3,84002,50.75474393,41.68487012,-94.0397709,red,,,,,,,,,,,,,,,
2858,Iowa,Davis County,Donald Trump,REP,3032,TRUE,19051,IA,4398,4487,37,8885,50.50084412,40.74769344,-92.40971356,red,,,,,,,,,,,,,,,
2868,Iowa,Decatur County,Donald Trump,REP,2615,TRUE,19053,IA,4017,4027,36.4,8044,50.06215813,40.73769891,-93.78628401,red,,,,,,,,,,,,,,,
2878,Iowa,Delaware County,Donald Trump,REP,6666,TRUE,19055,IA,8689,8569,43.6,17258,49.65233515,42.47121197,-91.36733449,red,,,,,,,,,,,,,,,
2888,Iowa,Des Moines County,Donald Trump,REP,10592,TRUE,19057,IA,19313,20287,42.6,39600,51.22979798,40.92317786,-91.18147574,red,,,,,,,,,,,,,,,
2898,Iowa,Dickinson County,Donald Trump,REP,7438,TRUE,19059,IA,8515,8541,48.4,17056,50.07621951,43.37791096,-95.15088081,red,,,,,,,,,,,,,,,
2908,Iowa,Dubuque County,Donald Trump,REP,27214,TRUE,19061,IA,47744,49058,38.5,96802,50.67870499,42.46882114,-90.88245689,red,,,,,,,,,,,,,,,
2918,Iowa,Emmet County,Donald Trump,REP,3265,TRUE,19063,IA,4770,4781,42.4,9551,50.05758559,43.37794354,-94.6784286,red,,,,,,,,,,,,,,,
2928,Iowa,Fayette County,Donald Trump,REP,6145,TRUE,19065,IA,9998,9931,43.6,19929,49.83190326,42.86261109,-91.84435518,red,,,,,,,,,,,,,,,
2938,Iowa,Floyd County,Donald Trump,REP,4732,TRUE,19067,IA,7766,8092,43.9,15858,51.02787237,43.05993265,-92.78900648,red,,,,,,,,,,,,,,,
2948,Iowa,Franklin County,Donald Trump,REP,3422,TRUE,19069,IA,5117,5128,42.4,10245,50.05368472,42.7325438,-93.26247472,red,,,,,,,,,,,,,,,
2958,Iowa,Fremont County,Donald Trump,REP,2711,TRUE,19071,IA,3470,3498,45.8,6968,50.20091848,40.74556962,-95.60467614,red,,,,,,,,,,,,,,,
2968,Iowa,Greene County,Donald Trump,REP,3223,TRUE,19073,IA,4380,4623,44.5,9003,51.34955015,42.03624153,-94.39683407,red,,,,,,,,,,,,,,,
2978,Iowa,Grundy County,Donald Trump,REP,4929,TRUE,19075,IA,6108,6233,42.5,12341,50.50644194,42.40186532,-92.79142901,red,,,,,,,,,,,,,,,
2988,Iowa,Guthrie County,Donald Trump,REP,4272,TRUE,19077,IA,5335,5339,45.6,10674,50.01873712,41.68374611,-94.50106212,red,,,,,,,,,,,,,,,
2998,Iowa,Hamilton County,Donald Trump,REP,4956,TRUE,19079,IA,7377,7733,42.4,15110,51.1780278,42.3837507,-93.70679229,red,,,,,,,,,,,,,,,
3008,Iowa,Hancock County,Donald Trump,REP,4390,TRUE,19081,IA,5494,5394,44.5,10888,49.54077884,43.08190167,-93.73427032,red,,,,,,,,,,,,,,,
3018,Iowa,Hardin County,Donald Trump,REP,5850,TRUE,19083,IA,8565,8562,44.7,17127,49.9912419,42.38387388,-93.24039754,red,,,,,,,,,,,,,,,
3028,Iowa,Harrison County,Donald Trump,REP,5569,TRUE,19085,IA,6989,7154,44.1,14143,50.58332744,41.68285868,-95.81683521,red,,,,,,,,,,,,,,,
3038,Iowa,Henry County,Donald Trump,REP,6507,TRUE,19087,IA,10125,9801,40,19926,49.18699187,40.9879861,-91.54454205,red,,,,,,,,,,,,,,,
3048,Iowa,Howard County,Donald Trump,REP,3127,TRUE,19089,IA,4580,4684,42.2,9264,50.56131261,43.35675953,-92.31720101,red,,,,,,,,,,,,,,,
3058,Iowa,Humboldt County,Donald Trump,REP,3819,TRUE,19091,IA,4651,4915,43,9566,51.3798871,42.77646004,-94.20716003,red,,,,,,,,,,,,,,,
3068,Iowa,Ida County,Donald Trump,REP,2880,TRUE,19093,IA,3457,3459,44.5,6916,50.01445922,42.38689844,-95.51349743,red,,,,,,,,,,,,,,,
3078,Iowa,Iowa County,Donald Trump,REP,6009,TRUE,19095,IA,8052,8155,42.1,16207,50.31776393,41.68632088,-92.06549578,red,,,,,,,,,,,,,,,
3088,Iowa,Jackson County,Donald Trump,REP,6940,TRUE,19097,IA,9712,9683,44.7,19395,49.92523846,42.17173547,-90.57425029,red,,,,,,,,,,,,,,,
3098,Iowa,Jasper County,Donald Trump,REP,12084,TRUE,19099,IA,18669,18222,42.3,36891,49.39416118,41.68602916,-93.05375425,red,,,,,,,,,,,,,,,
3108,Iowa,Jefferson County,Donald Trump,REP,4443,TRUE,19101,IA,9112,8965,43,18077,49.59340599,41.0317693,-91.9488887,red,,,,,,,,,,,,,,,
3118,Iowa,Johnson County,Joe Biden,DEM,59177,TRUE,19103,IA,72765,74236,30,147001,50.50033673,41.67153254,-91.5881044,blue,,,,,,,,,,,,,,,
3128,Iowa,Jones County,Donald Trump,REP,6572,TRUE,19105,IA,10585,9983,43.4,20568,48.53656165,42.1212281,-91.13146148,red,,,,,,,,,,,,,,,
3138,Iowa,Keokuk County,Donald Trump,REP,3797,TRUE,19107,IA,5202,4998,43.9,10200,49,41.3364575,-92.17863867,red,,,,,,,,,,,,,,,
3148,Iowa,Kossuth County,Donald Trump,REP,6275,TRUE,19109,IA,7547,7528,45.5,15075,49.93698176,43.20419581,-94.20671661,red,,,,,,,,,,,,,,,
3158,Iowa,Lee County,Donald Trump,REP,9773,TRUE,19111,IA,17371,17170,43.2,34541,49.70904143,40.64199984,-91.47925471,red,,,,,,,,,,,,,,,
3168,Iowa,Linn County,Joe Biden,DEM,70874,TRUE,19113,IA,109540,112581,37.5,222121,50.68453681,42.0789587,-91.59902613,blue,,,,,,,,,,,,,,,
3178,Iowa,Louisa County,Donald Trump,REP,3500,TRUE,19115,IA,5724,5499,41.2,11223,48.99759423,41.21852079,-91.25960822,red,,,,,,,,,,,,,,,
3188,Iowa,Lucas County,Donald Trump,REP,3287,TRUE,19117,IA,4318,4279,44.6,8597,49.77317669,41.0293955,-93.32773855,red,,,,,,,,,,,,,,,
3198,Iowa,Lyon County,Donald Trump,REP,5707,TRUE,19119,IA,6013,5756,38.1,11769,48.90814853,43.38053058,-96.21023288,red,,,,,,,,,,,,,,,
3208,Iowa,Madison County,Donald Trump,REP,6507,TRUE,19121,IA,8028,7862,40.1,15890,49.4776589,41.33071142,-94.01554263,red,,,,,,,,,,,,,,,
3218,Iowa,Mahaska County,Donald Trump,REP,8297,TRUE,19123,IA,11252,10956,39.7,22208,49.33357349,41.33521489,-92.64091016,red,,,,,,,,,,,,,,,
3228,Iowa,Marion County,Donald Trump,REP,12663,TRUE,19125,IA,16374,16833,39.2,33207,50.69111934,41.33444371,-93.09944585,red,,,,,,,,,,,,,,,
3238,Iowa,Marshall County,Donald Trump,REP,9571,TRUE,19127,IA,20400,19871,39.1,40271,49.34319982,42.03583447,-92.99878979,red,,,,,,,,,,,,,,,
3248,Iowa,Mills County,Donald Trump,REP,5585,TRUE,19129,IA,7516,7441,42.1,14957,49.74928127,41.03343008,-95.62131843,red,,,,,,,,,,,,,,,
3258,Iowa,Mitchell County,Donald Trump,REP,3677,TRUE,19131,IA,5282,5349,43.8,10631,50.31511617,43.35636379,-92.78901296,red,,,,,,,,,,,,,,,
3268,Iowa,Monona County,Donald Trump,REP,3248,TRUE,19133,IA,4283,4513,46.5,8796,51.30741246,42.05164263,-95.95990054,red,,,,,,,,,,,,,,,
3278,Iowa,Monroe County,Donald Trump,REP,2975,TRUE,19135,IA,4064,3799,41.8,7863,48.31489253,41.02979569,-92.86900423,red,,,,,,,,,,,,,,,
3288,Iowa,Montgomery County,Donald Trump,REP,3659,TRUE,19137,IA,4869,5286,44,10155,52.05317578,41.0301471,-95.15635726,red,,,,,,,,,,,,,,,
3298,Iowa,Muscatine County,Donald Trump,REP,10823,TRUE,19139,IA,21476,21474,38.1,42950,49.99767171,41.48392136,-91.11270703,red,,,,,,,,,,,,,,,
3308,Iowa,O'Brien County,Donald Trump,REP,5861,TRUE,19141,IA,6962,6949,42.4,13911,49.95327439,43.08375704,-95.62491379,red,,,,,,,,,,,,,,,
3318,Iowa,Osceola County,Donald Trump,REP,2690,TRUE,19143,IA,3091,3024,43.8,6115,49.4521668,43.37857912,-95.62366732,red,,,,,,,,,,,,,,,
3328,Iowa,Page County,Donald Trump,REP,5319,TRUE,19145,IA,7922,7441,44,15363,48.43455054,40.73913258,-95.15020277,red,,,,,,,,,,,,,,,
3338,Iowa,Palo Alto County,Donald Trump,REP,3370,TRUE,19147,IA,4512,4543,41.8,9055,50.17117615,43.08208883,-94.67813192,red,,,,,,,,,,,,,,,
3348,Iowa,Plymouth County,Donald Trump,REP,10492,TRUE,19149,IA,12288,12751,39.9,25039,50.92455769,42.73781252,-96.21413283,red,,,,,,,,,,,,,,,
3358,Iowa,Pocahontas County,Donald Trump,REP,2826,TRUE,19151,IA,3384,3514,47.9,6898,50.94230212,42.73416445,-94.67874433,red,,,,,,,,,,,,,,,
3368,Iowa,Polk County,Joe Biden,DEM,146250,TRUE,19153,IA,233599,240675,35.3,474274,50.74598228,41.6854991,-93.57353196,blue,,,,,,,,,,,,,,,
3378,Iowa,Pottawattamie County,Donald Trump,REP,26247,TRUE,19155,IA,45923,47580,39.5,93503,50.88606783,41.33662283,-95.54229497,red,,,,,,,,,,,,,,,
3388,Iowa,Poweshiek County,Donald Trump,REP,5657,TRUE,19157,IA,8990,9615,40.7,18605,51.67965601,41.68644275,-92.53145279,red,,,,,,,,,,,,,,,
3398,Iowa,Ringgold County,Donald Trump,REP,1968,TRUE,19159,IA,2432,2552,44.9,4984,51.20385233,40.73516519,-94.24398812,red,,,,,,,,,,,,,,,
3408,Iowa,Sac County,Donald Trump,REP,4061,TRUE,19161,IA,4818,5050,46.2,9868,51.17551682,42.38623879,-95.10535234,red,,,,,,,,,,,,,,,
3418,Iowa,Scott County,Joe Biden,DEM,46926,TRUE,19163,IA,84515,87773,38.3,172288,50.94550984,41.6370912,-90.62323883,blue,,,,,,,,,,,,,,,
3428,Iowa,Shelby County,Donald Trump,REP,4697,TRUE,19165,IA,5735,5959,46.1,11694,50.95775611,41.68509095,-95.31017789,red,,,,,,,,,,,,,,,
3438,Iowa,Sioux County,Donald Trump,REP,15680,TRUE,19167,IA,17487,17338,33.2,34825,49.78607322,43.0826321,-96.17785131,red,,,,,,,,,,,,,,,
3448,Iowa,Story County,Joe Biden,DEM,29175,TRUE,19169,IA,50484,46438,26.3,96922,47.91275459,42.03623118,-93.46503839,blue,,,,,,,,,,,,,,,
3458,Iowa,Tama County,Donald Trump,REP,5303,TRUE,19171,IA,8497,8639,42.8,17136,50.4143324,42.07981047,-92.5325542,red,,,,,,,,,,,,,,,
3468,Iowa,Taylor County,Donald Trump,REP,2463,TRUE,19173,IA,3168,3033,42.8,6201,48.91146589,40.73739709,-94.69642274,red,,,,,,,,,,,,,,,
3478,Iowa,Union County,Donald Trump,REP,4010,TRUE,19175,IA,6063,6390,39.9,12453,51.31293664,41.02772802,-94.24234883,red,,,,,,,,,,,,,,,
3488,Iowa,Van Buren County,Donald Trump,REP,2859,TRUE,19177,IA,3698,3525,44.3,7223,48.80243666,40.7532181,-91.94996628,red,,,,,,,,,,,,,,,
3498,Iowa,Wapello County,Donald Trump,REP,9516,TRUE,19179,IA,17403,17912,39.3,35315,50.72065694,41.03058137,-92.40946505,red,,,,,,,,,,,,,,,
3508,Iowa,Warren County,Donald Trump,REP,17782,TRUE,19181,IA,24118,25243,38.3,49361,51.13956362,41.33437071,-93.56135411,red,,,,,,,,,,,,,,,
3518,Iowa,Washington County,Donald Trump,REP,6971,TRUE,19183,IA,11075,11068,40.8,22143,49.98419365,41.33560632,-91.71785985,red,,,,,,,,,,,,,,,
3528,Iowa,Wayne County,Donald Trump,REP,2338,TRUE,19185,IA,3157,3256,43,6413,50.77186964,40.73949993,-93.32736005,red,,,,,,,,,,,,,,,
3538,Iowa,Webster County,Donald Trump,REP,10938,TRUE,19187,IA,18972,17785,39.1,36757,48.38534157,42.4279449,-94.1817767,red,,,,,,,,,,,,,,,
3548,Iowa,Winnebago County,Donald Trump,REP,3707,TRUE,19189,IA,5190,5381,42.6,10571,50.903415,43.3775101,-93.73413099,red,,,,,,,,,,,,,,,
3558,Iowa,Winneshiek County,Donald Trump,REP,6235,TRUE,19191,IA,10156,10245,41.3,20401,50.21812656,43.29062002,-91.84367475,red,,,,,,,,,,,,,,,
3568,Iowa,Woodbury County,Donald Trump,REP,25736,TRUE,19193,IA,50496,51902,35.7,102398,50.68653685,42.38970362,-96.04477464,red,,,,,,,,,,,,,,,
3578,Iowa,Worth County,Donald Trump,REP,2738,TRUE,19195,IA,3754,3735,44,7489,49.87314728,43.37737598,-93.26085344,red,,,,,,,,,,,,,,,
3588,Iowa,Wright County,Donald Trump,REP,4136,TRUE,19197,IA,6383,6421,43.4,12804,50.14839113,42.7330839,-93.7351375,red,,,,,,,,,,,,,,,
3598,Kansas,Allen County,Donald Trump,REP,4155,TRUE,20001,KS,6281,6349,41.8,12630,50.26920032,37.88572095,-95.3013594,red,,,,,,,,,,,,,,,
3602,Kansas,Anderson County,Donald Trump,REP,2874,TRUE,20003,KS,3932,3920,41.5,7852,49.92358635,38.21418084,-95.293339,red,,,,,,,,,,,,,,,
3605,Kansas,Atchison County,Donald Trump,REP,4826,TRUE,20005,KS,7949,8414,36.1,16363,51.42088859,39.53175193,-95.31348731,red,,,,,,,,,,,,,,,
3608,Kansas,Barber County,Donald Trump,REP,1992,TRUE,20007,KS,2356,2377,43.8,4733,50.22184661,37.22885963,-98.68482282,red,,,,,,,,,,,,,,,
3611,Kansas,Barton County,Donald Trump,REP,8480,TRUE,20009,KS,13362,13429,40,26791,50.12504199,38.4789632,-98.75645855,red,,,,,,,,,,,,,,,
3614,Kansas,Bourbon County,Donald Trump,REP,4910,TRUE,20011,KS,7243,7459,39.3,14702,50.73459393,37.85520327,-94.84932869,red,,,,,,,,,,,,,,,
3618,Kansas,Brown County,Donald Trump,REP,3206,TRUE,20013,KS,4685,4979,42.2,9664,51.52110927,39.82648788,-95.5642076,red,,,,,,,,,,,,,,,
3621,Kansas,Butler County,Donald Trump,REP,22250,TRUE,20015,KS,33539,32929,38.4,66468,49.54113258,37.78123819,-96.8390418,red,,,,,,,,,,,,,,,
3624,Kansas,Chase County,Donald Trump,REP,1114,TRUE,20017,KS,1340,1305,44.4,2645,49.33837429,38.30203656,-96.59394881,red,,,,,,,,,,,,,,,
3627,Kansas,Chautauqua County,Donald Trump,REP,1397,TRUE,20019,KS,1757,1610,48.8,3367,47.81704782,37.15002546,-96.24538277,red,,,,,,,,,,,,,,,
3630,Kansas,Cherokee County,Donald Trump,REP,6622,TRUE,20021,KS,9998,10333,41.9,20331,50.82386503,37.16932439,-94.84628642,red,,,,,,,,,,,,,,,
3633,Kansas,Cheyenne County,Donald Trump,REP,1158,TRUE,20023,KS,1320,1357,45.7,2677,50.6910721,39.7858685,-101.7312939,red,,,,,,,,,,,,,,,
3636,Kansas,Clark County,Donald Trump,REP,885,TRUE,20025,KS,1037,1016,44.3,2053,49.48855334,37.23551254,-99.82030399,red,,,,,,,,,,,,,,,
3639,Kansas,Clay County,Donald Trump,REP,3129,TRUE,20027,KS,4078,4064,43,8142,49.91402604,39.34972288,-97.16517646,red,,,,,,,,,,,,,,,
3643,Kansas,Cloud County,Donald Trump,REP,3182,TRUE,20029,KS,4523,4537,41,9060,50.07726269,39.48029328,-97.64925787,red,,,,,,,,,,,,,,,
3646,Kansas,Coffey County,Donald Trump,REP,3407,TRUE,20031,KS,4195,4101,44,8296,49.43346191,38.23686351,-95.7341048,red,,,,,,,,,,,,,,,
3650,Kansas,Comanche County,Donald Trump,REP,745,TRUE,20033,KS,912,868,47.5,1780,48.76404494,37.19126297,-99.27184409,red,,,,,,,,,,,,,,,
3654,Kansas,Cowley County,Donald Trump,REP,9442,TRUE,20035,KS,17915,17676,38.8,35591,49.66424096,37.23770919,-96.83752845,red,,,,,,,,,,,,,,,
3657,Kansas,Crawford County,Donald Trump,REP,10045,TRUE,20037,KS,19527,19581,32.5,39108,50.06903958,37.50731648,-94.85181559,red,,,,,,,,,,,,,,,
3661,Kansas,Decatur County,Donald Trump,REP,1232,TRUE,20039,KS,1419,1462,49.5,2881,50.74626866,39.78473751,-100.4599391,red,,,,,,,,,,,,,,,
3664,Kansas,Dickinson County,Donald Trump,REP,7045,TRUE,20041,KS,9555,9449,41.5,19004,49.72111134,38.8664868,-97.15269783,red,,,,,,,,,,,,,,,
3667,Kansas,Doniphan County,Donald Trump,REP,2949,TRUE,20043,KS,3960,3776,41.3,7736,48.81075491,39.7880604,-95.14679869,red,,,,,,,,,,,,,,,
3670,Kansas,Douglas County,Joe Biden,DEM,39436,TRUE,20045,KS,59067,60252,29.5,119319,50.49656802,38.88466799,-95.29259106,blue,,,,,,,,,,,,,,,
3673,Kansas,Edwards County,Donald Trump,REP,1127,TRUE,20047,KS,1494,1431,44.7,2925,48.92307692,37.88761461,-99.3121571,red,,,,,,,,,,,,,,,
3676,Kansas,Elk County,Donald Trump,REP,1130,TRUE,20049,KS,1258,1304,51.7,2562,50.89773614,37.45368647,-96.24415485,red,,,,,,,,,,,,,,,
3679,Kansas,Ellis County,Donald Trump,REP,9569,TRUE,20051,KS,14394,14484,32.6,28878,50.15582797,38.91473313,-99.31726626,red,,,,,,,,,,,,,,,
3682,Kansas,Ellsworth County,Donald Trump,REP,2106,TRUE,20053,KS,3654,2639,42.3,6293,41.93548387,38.69663853,-98.20476048,red,,,,,,,,,,,,,,,
3685,Kansas,Finney County,Donald Trump,REP,7079,TRUE,20055,KS,18940,18017,30.5,36957,48.75125145,38.04428211,-100.7369985,red,,,,,,,,,,,,,,,
3688,Kansas,Ford County,Donald Trump,REP,5763,TRUE,20057,KS,17896,16588,31.9,34484,48.10346828,37.6917175,-99.88795654,red,,,,,,,,,,,,,,,
3692,Kansas,Franklin County,Donald Trump,REP,8326,TRUE,20059,KS,12567,12996,39.1,25563,50.83910339,38.56453053,-95.28594747,red,,,,,,,,,,,,,,,
3695,Kansas,Geary County,Donald Trump,REP,5193,TRUE,20061,KS,18540,16355,26.1,34895,46.86917897,39.00241626,-96.75253039,red,,,,,,,,,,,,,,,
3698,Kansas,Gove County,Donald Trump,REP,1256,TRUE,20063,KS,1298,1321,48.1,2619,50.43909889,38.91609174,-100.4829667,red,,,,,,,,,,,,,,,
3701,Kansas,Graham County,Donald Trump,REP,1052,TRUE,20065,KS,1290,1255,51.9,2545,49.31237721,39.34972719,-99.88322903,red,,,,,,,,,,,,,,,
3704,Kansas,Grant County,Donald Trump,REP,1910,TRUE,20067,KS,3988,3628,32.6,7616,47.63655462,37.56226603,-101.308018,red,,,,,,,,,,,,,,,
3707,Kansas,Gray County,Donald Trump,REP,1871,TRUE,20069,KS,3025,3012,36.2,6037,49.89233063,37.73818203,-100.4378836,red,,,,,,,,,,,,,,,
3710,Kansas,Greeley County,Donald Trump,REP,537,TRUE,20071,KS,581,619,36.5,1200,51.58333333,38.48056391,-101.8060441,red,,,,,,,,,,,,,,,
3714,Kansas,Greenwood County,Donald Trump,REP,2404,TRUE,20073,KS,3106,3050,48.7,6156,49.54515919,37.87782471,-96.23261222,red,,,,,,,,,,,,,,,
3717,Kansas,Hamilton County,Donald Trump,REP,684,TRUE,20075,KS,1353,1263,32.2,2616,48.27981651,37.999123,-101.7912406,red,,,,,,,,,,,,,,,
3720,Kansas,Harper County,Donald Trump,REP,2128,TRUE,20077,KS,2884,2789,42.3,5673,49.16270051,37.19162258,-98.07548313,red,,,,,,,,,,,,,,,
3723,Kansas,Harvey County,Donald Trump,REP,10015,TRUE,20079,KS,17200,17355,39.5,34555,50.22428013,38.04321376,-97.42723286,red,,,,,,,,,,,,,,,
3726,Kansas,Haskell County,Donald Trump,REP,1103,TRUE,20081,KS,2006,2041,36.6,4047,50.43241908,37.56222283,-100.8711794,red,,,,,,,,,,,,,,,
3729,Kansas,Hodgeman County,Donald Trump,REP,866,TRUE,20083,KS,941,901,49.1,1842,48.91422367,38.08749317,-99.89792613,red,,,,,,,,,,,,,,,
3732,Kansas,Jackson County,Donald Trump,REP,4435,TRUE,20085,KS,6642,6676,41.6,13318,50.12764679,39.41682464,-95.79366875,red,,,,,,,,,,,,,,,
3735,Kansas,Jefferson County,Donald Trump,REP,6193,TRUE,20087,KS,9581,9307,44.2,18888,49.27467175,39.23576285,-95.38343919,red,,,,,,,,,,,,,,,
3739,Kansas,Jewell County,Donald Trump,REP,1369,TRUE,20089,KS,1482,1434,52.6,2916,49.17695473,39.78473319,-98.21833955,red,,,,,,,,,,,,,,,
3742,Kansas,Johnson County,Joe Biden,DEM,184259,TRUE,20091,KS,286987,298515,37.5,585502,50.98445437,38.88376637,-94.82231677,blue,,,,,,,,,,,,,,,
3746,Kansas,Kearny County,Donald Trump,REP,1134,TRUE,20093,KS,1934,1998,34.4,3932,50.8138352,38.0002325,-101.319883,red,,,,,,,,,,,,,,,
3749,Kansas,Kingman County,Donald Trump,REP,3102,TRUE,20095,KS,3749,3721,45.5,7470,49.81258367,37.55889838,-98.13633587,red,,,,,,,,,,,,,,,
3753,Kansas,Kiowa County,Donald Trump,REP,957,TRUE,20097,KS,1234,1292,40.3,2526,51.14806017,37.55822974,-99.28607727,red,,,,,,,,,,,,,,,
3756,Kansas,Labette County,Donald Trump,REP,5639,TRUE,20099,KS,10070,10297,40.6,20367,50.55727402,37.19130785,-95.2975707,red,,,,,,,,,,,,,,,
3759,Kansas,Lane County,Donald Trump,REP,757,TRUE,20101,KS,850,792,41.2,1642,48.23386114,38.48133334,-100.4664251,red,,,,,,,,,,,,,,,
3763,Kansas,Leavenworth County,Donald Trump,REP,21378,TRUE,20103,KS,42933,37109,37.6,80042,46.36191,39.19930867,-95.03798734,red,,,,,,,,,,,,,,,
3766,Kansas,Lincoln County,Donald Trump,REP,1273,TRUE,20105,KS,1585,1512,46.4,3097,48.8214401,39.04530869,-98.20769053,red,,,,,,,,,,,,,,,
3769,Kansas,Linn County,Donald Trump,REP,3940,TRUE,20107,KS,4800,4835,43.9,9635,50.18162948,38.21226067,-94.84297032,red,,,,,,,,,,,,,,,
