,state,county,candidate,party,total_votes,won,fips,state_code,male,female,median_age,population,female_percentage,lat,long,color
15371,Virginia,Harrisonburg city,Joe Biden,DEM,11022,True,51660,VA,25580,27811,25.1,53391,52.08930344065479,38.436205248273566,-78.87345309974245,blue
15375,Virginia,Hopewell city,Joe Biden,DEM,5430,True,51670,VA,10375,12033,36.5,22408,53.69957158157801,37.291479963517325,-77.29852871625803,blue
15379,Virginia,Lexington city,Joe Biden,DEM,1791,True,51678,VA,3910,3200,21.7,7110,45.0070323488045,37.7825062536846,-79.44398355045766,blue
15383,Virginia,Lynchburg city,Joe Biden,DEM,18048,True,51680,VA,37515,42616,28.2,80131,53.18291297999526,37.40027526818044,-79.19086205576502,blue
15387,Virginia,Manassas city,Joe Biden,DEM,10356,True,51683,VA,20775,20682,33.7,41457,49.88783558868225,38.74792463595113,-77.48384977077527,blue
15391,Virginia,Manassas Park city,Joe Biden,DEM,3992,True,51685,VA,8568,7855,35.3,16423,47.82926383730135,38.77183472009013,-77.44499004855771,blue
15395,Virginia,Martinsville city,Joe Biden,DEM,3766,True,51690,VA,5867,7234,40.8,13101,55.21715899549653,36.6826522052468,-79.86362136573443,blue
15399,Virginia,Newport News city,Joe Biden,DEM,53099,True,51700,VA,87221,92924,33.3,180145,51.58289155957701,37.10514981599662,-76.51848559760111,blue
15403,Virginia,Norfolk city,Joe Biden,DEM,64440,True,51710,VA,128293,117299,30.5,245592,47.76173490993192,36.89452163684652,-76.25901676567955,blue
15407,Virginia,Norton city,Donald Trump,REP,1109,True,51720,VA,1792,2198,37.3,3990,55.08771929824562,36.93141576353189,-82.62624386361499,red
15411,Virginia,Petersburg city,Joe Biden,DEM,12389,True,51730,VA,14651,17176,38.7,31827,53.966757784271216,37.20429553517465,-77.39129856178641,blue
15415,Virginia,Poquoson city,Donald Trump,REP,5605,True,51735,VA,5856,6183,43.2,12039,51.35808621978569,37.13178476941527,-76.35687106425218,red
15419,Virginia,Portsmouth city,Joe Biden,DEM,30948,True,51740,VA,45919,49392,35.2,95311,51.8219303123459,36.846838919999634,-76.35404272814746,blue
15423,Virginia,Radford city,Joe Biden,DEM,3358,True,51750,VA,8425,9205,22.9,17630,52.21213840045377,37.12289586437825,-80.5587469753417,blue
15427,Virginia,Richmond city,Joe Biden,DEM,92175,True,51760,VA,106222,117565,33.8,223787,52.53432951869412,37.52946619617588,-77.47556118299529,blue
15431,Virginia,Roanoke city,Joe Biden,DEM,26773,True,51770,VA,47775,51846,38.7,99621,52.04324389435963,37.27848613085797,-79.95803917031868,blue
15435,Virginia,Salem city,Donald Trump,REP,7683,True,51775,VA,11902,13617,41.3,25519,53.36024138876915,37.286422655697145,-80.05546176142217,red
15439,Virginia,Staunton city,Joe Biden,DEM,6981,True,51790,VA,11198,13254,42.5,24452,54.20415507933911,38.15929241527403,-79.06113614773854,blue
15443,Virginia,Suffolk city,Joe Biden,DEM,28676,True,51800,VA,43085,46075,38.2,89160,51.67676087931808,36.695318122407954,-76.63983900498263,blue
15447,Virginia,Virginia Beach city,Joe Biden,DEM,117393,True,51810,VA,221285,228850,35.9,450135,50.84030346451621,36.73353798092837,-76.04348547860994,blue
15451,Virginia,Waynesboro city,Donald Trump,REP,5507,True,51820,VA,10660,11266,39.4,21926,51.38192100702362,38.067410662847664,-78.9013556744502,red
15455,Virginia,Williamsburg city,Joe Biden,DEM,4790,True,51830,VA,6727,8061,24.6,14788,54.51041384906681,37.26924469791776,-76.70761651287368,blue
15459,Virginia,Winchester city,Joe Biden,DEM,6610,True,51840,VA,13573,14216,37.3,27789,51.15693259922991,39.1735134207124,-78.17461170764297,blue
15463,Washington,Adams County,Donald Trump,REP,3907,True,53001,WA,9844,9608,28.3,19452,49.39337857289739,46.983382336220274,-118.56058043313998,red
15470,Washington,Asotin County,Donald Trump,REP,7319,True,53003,WA,10721,11616,45.0,22337,52.0034024264673,46.19182074555464,-117.20303346496166,red
15477,Washington,Benton County,Donald Trump,REP,60365,True,53005,WA,97139,97029,35.7,194168,49.9716740142557,46.23980804608087,-119.51121769291628,red
15484,Washington,Chelan County,Donald Trump,REP,22746,True,53007,WA,37764,37993,40.2,75757,50.15114114867273,47.86922060701924,-120.6189726527004,red
15491,Washington,Clallam County,Joe Biden,DEM,24721,True,53009,WA,36857,37630,50.5,74487,50.51888248956193,48.0493223698826,-123.92799738845515,blue
15498,Washington,Clark County,Joe Biden,DEM,140324,True,53011,WA,230092,235292,38.2,465384,50.55867842469874,45.77920927703085,-122.4825200476553,blue
15505,Washington,Columbia County,Donald Trump,REP,1754,True,53013,WA,1930,2071,49.4,4001,51.76205948512872,46.29752640636587,-117.90777481962736,red
15512,Washington,Cowlitz County,Donald Trump,REP,34424,True,53015,WA,51937,53175,41.5,105112,50.58889565415937,46.1932415490334,-122.68100236398334,red
15519,Washington,Douglas County,Donald Trump,REP,12955,True,53017,WA,20821,20550,37.1,41371,49.67247588890769,47.73610351683246,-119.69178815551308,red
15526,Washington,Ferry County,Donald Trump,REP,2771,True,53019,WA,3884,3692,49.6,7576,48.73284054910243,48.4702889152787,-118.51658914071956,red
15533,Washington,Franklin County,Donald Trump,REP,18039,True,53021,WA,47145,43515,30.0,90660,47.99801455989411,46.53472740968529,-118.89896929575896,red
15540,Washington,Garfield County,Donald Trump,REP,1069,True,53023,WA,1099,1125,45.5,2224,50.58453237410072,46.43163891622226,-117.54516733519932,red
15547,Washington,Grant County,Donald Trump,REP,24764,True,53025,WA,48099,46761,32.7,94860,49.29475015812776,47.205681005545856,-119.45175205482307,red
15554,Washington,Grays Harbor County,Donald Trump,REP,19877,True,53027,WA,36981,34986,43.7,71967,48.61394805952728,47.15024549042494,-123.77350634799411,red
15561,Washington,Island County,Joe Biden,DEM,29213,True,53029,WA,40781,40855,44.2,81636,50.04532314175118,48.16300542635361,-122.54807098463483,blue
15568,Washington,Jefferson County,Joe Biden,DEM,17204,True,53031,WA,15354,15502,57.9,30856,50.23982369717397,47.74888658050615,-123.59526487036008,blue
15575,Washington,King County,Joe Biden,DEM,907310,True,53033,WA,1082940,1080317,37.1,2163257,49.93937382382214,47.490249075141705,-121.80523369126,blue
15582,Washington,Kitsap County,Joe Biden,DEM,90277,True,53035,WA,134094,128381,39.0,262475,48.91170587675017,47.61316507430308,-122.67172296943043,blue
15589,Washington,Kittitas County,Donald Trump,REP,14105,True,53037,WA,22555,22270,33.1,44825,49.68209704406024,47.1243998546665,-120.67987779733836,red
15596,Washington,Klickitat County,Donald Trump,REP,7237,True,53039,WA,10751,10645,46.6,21396,49.75229014769116,45.87379703803709,-120.78912078101575,red
15603,Washington,Lewis County,Donald Trump,REP,29391,True,53041,WA,38509,38438,43.1,76947,49.953864348187714,46.57777294068943,-122.39268292835771,red
15610,Washington,Lincoln County,Donald Trump,REP,5150,True,53043,WA,5311,5124,48.4,10435,49.10397700047916,47.57626322315691,-118.41872723480871,red
15617,Washington,Mason County,Donald Trump,REP,18710,True,53045,WA,32413,30214,45.6,62627,48.244367445351045,47.34839443687405,-123.19272413907076,red
15624,Washington,Okanogan County,Donald Trump,REP,11840,True,53047,WA,21061,20577,42.9,41638,49.41880013449253,48.54879405559648,-119.7408379576317,red
15631,Washington,Pacific County,Donald Trump,REP,6953,True,53049,WA,10640,10641,53.1,21281,50.00234951365068,46.555690777426754,-123.70412853981296,red
15638,Washington,Pend Oreille County,Donald Trump,REP,5728,True,53051,WA,6694,6525,50.6,13219,49.36076859066495,48.53229304731611,-117.27399511451593,red
