,state,county,candidate,party,total_votes,won,fips,state_code,male,female,median_age,population,female_percentage,lat,long,color
1793,Illinois,Jackson County,Joe Biden,DEM,11181,True,17077,IL,28989,29562,31.6,58551,50.48931700568736,37.78514443322731,-89.38212877276194,blue
1800,Illinois,Jasper County,Donald Trump,REP,4494,True,17079,IL,4809,4789,42.8,9598,49.89581162742238,39.01006378639527,-88.15384992138468,red
1807,Illinois,Jefferson County,Donald Trump,REP,12476,True,17081,IL,19567,18602,41.0,38169,48.735885142393045,38.30051395183354,-88.92401752212261,red
1814,Illinois,Jersey County,Donald Trump,REP,8712,True,17083,IL,10841,11228,42.7,22069,50.876795505007024,39.0856840797399,-90.35668523734932,red
1821,Illinois,Jo Daviess County,Donald Trump,REP,7166,True,17085,IL,10956,10878,49.7,21834,49.8213794998626,42.36575464799677,-90.21249871694928,red
1828,Illinois,Johnson County,Donald Trump,REP,5059,True,17087,IL,7015,5587,43.2,12602,44.334232661482304,37.459629315302514,-88.88092569353789,red
1835,Illinois,Kane County,Joe Biden,DEM,130166,True,17089,IL,264211,266628,37.0,530839,50.227658480254846,41.93884402524312,-88.42863910352412,blue
1842,Illinois,Kankakee County,Donald Trump,REP,28532,True,17091,IL,54615,56446,37.6,111061,50.82432176911787,41.13771025937167,-87.86183129275948,red
1849,Illinois,Kendall County,Joe Biden,DEM,33168,True,17093,IL,61761,62865,34.9,124626,50.44292523229503,41.590565477890486,-88.4287969179681,blue
1856,Illinois,Knox County,Donald Trump,REP,12009,True,17095,IL,25743,25256,42.1,50999,49.52253965764034,40.931837741443495,-90.21323705405705,red
1863,Illinois,Lake County,Joe Biden,DEM,204032,True,17097,IL,351343,352276,38.2,703619,50.06630008569979,42.323339937272166,-88.00365402815346,blue
1870,Illinois,LaSalle County,Donald Trump,REP,30113,True,17099,IL,55400,55001,41.8,110401,49.81929511508048,41.343994549307226,-88.88594497987027,red
1877,Illinois,Lawrence County,Donald Trump,REP,4886,True,17101,IL,8919,7270,41.0,16189,44.90703564148496,38.71995569643991,-87.72678065245977,red
1884,Illinois,Lee County,Donald Trump,REP,9630,True,17103,IL,18326,16201,43.4,34527,46.92269817823732,41.746193936926566,-89.30038807060235,red
1891,Illinois,Livingston County,Donald Trump,REP,12208,True,17105,IL,18614,17710,42.0,36324,48.75564365158022,40.89157090415401,-88.55771847078897,red
1898,Illinois,Logan County,Donald Trump,REP,9136,True,17107,IL,14183,15024,40.4,29207,51.43972335399049,40.12455659076004,-89.36753851763163,red
1905,Illinois,McDonough County,Donald Trump,REP,7027,True,17109,IL,15009,15866,32.1,30875,51.38785425101214,40.45619404065306,-90.67791394623414,red
1912,Illinois,McHenry County,Donald Trump,REP,82260,True,17111,IL,153382,154407,40.2,307789,50.16651017417777,42.32442428494423,-88.45233584119063,red
1919,Illinois,McLean County,Joe Biden,DEM,43933,True,17113,IL,84245,88974,32.9,173219,51.36503501348004,40.49087526607274,-88.84732725314582,blue
1926,Illinois,Macon County,Donald Trump,REP,28589,True,17115,IL,51062,55450,41.3,106512,52.05986179960943,39.85998989241613,-88.96155997907879,red
1933,Illinois,Macoupin County,Donald Trump,REP,16153,True,17117,IL,22602,23117,43.6,45719,50.56322316761084,39.2610041650631,-89.9244317102756,red
1940,Illinois,Madison County,Donald Trump,REP,76031,True,17119,IL,129718,135952,40.1,265670,51.17326005947229,38.829867178573,-89.90513714788156,red
1947,Illinois,Marion County,Donald Trump,REP,12678,True,17121,IL,18726,19358,42.1,38084,50.829744774708544,38.64959343207136,-88.91898306643903,red
1954,Illinois,Marshall County,Donald Trump,REP,4197,True,17123,IL,5874,5920,46.3,11794,50.19501441410888,41.03315746309963,-89.34478050465367,red
1961,Illinois,Mason County,Donald Trump,REP,4654,True,17125,IL,6838,6940,45.3,13778,50.37015532007548,40.23963203037356,-89.91683127841236,red
1968,Illinois,Massac County,Donald Trump,REP,4997,True,17127,IL,6794,7636,43.8,14430,52.91753291753292,37.21896984324482,-88.7077219383499,red
1975,Illinois,Menard County,Donald Trump,REP,4764,True,17129,IL,6043,6324,42.9,12367,51.13608797606533,40.02739238374484,-89.8021918483924,red
1982,Illinois,Mercer County,Donald Trump,REP,5418,True,17131,IL,7798,7895,44.8,15693,50.30905499267189,41.205339100789686,-90.74144591818477,red
1989,Illinois,Monroe County,Donald Trump,REP,14142,True,17133,IL,16691,17245,42.6,33936,50.816242338519565,38.2784583841484,-90.17728332848364,red
1996,Illinois,Montgomery County,Donald Trump,REP,9544,True,17135,IL,15145,13864,43.1,29009,47.79206453169706,39.23103311855495,-89.47888817792764,red
2003,Illinois,Morgan County,Donald Trump,REP,9950,True,17137,IL,17298,17128,41.5,34426,49.75309359205252,39.715556136367766,-90.20146645851752,red
2010,Illinois,Moultrie County,Donald Trump,REP,4964,True,17139,IL,7172,7531,40.3,14703,51.22083928449976,39.64147353663316,-88.61929701812147,red
2017,Illinois,Ogle County,Donald Trump,REP,16248,True,17141,IL,25614,25714,42.4,51328,50.097412718204495,42.04264690306141,-89.32064357576418,red
2024,Illinois,Peoria County,Joe Biden,DEM,43578,True,17143,IL,89387,95076,37.2,184463,51.54204366187257,40.78804569197607,-89.7599627388572,blue
2031,Illinois,Perry County,Donald Trump,REP,7313,True,17145,IL,11767,9617,41.7,21384,44.972876917321365,38.08375244619143,-89.36700209948503,red
2038,Illinois,Piatt County,Donald Trump,REP,6248,True,17147,IL,8080,8347,43.0,16427,50.812686430876,40.010340074684684,-88.5911064338601,red
2045,Illinois,Pike County,Donald Trump,REP,6332,True,17149,IL,7815,7939,42.3,15754,50.39355084423004,39.62250377745868,-90.88629694348212,red
2052,Illinois,Pope County,Donald Trump,REP,1722,True,17151,IL,2349,1900,53.7,4249,44.7164038597317,37.412694362495394,-88.5615235650068,red
2059,Illinois,Pulaski County,Donald Trump,REP,1699,True,17153,IL,2747,2864,44.1,5611,51.04259490286937,37.22288260373905,-89.12658246430118,red
2066,Illinois,Putnam County,Donald Trump,REP,1993,True,17155,IL,2959,2787,47.9,5746,48.50330664810303,41.20447691510005,-89.28576115292618,red
2073,Illinois,Randolph County,Donald Trump,REP,11076,True,17157,IL,18019,14527,42.0,32546,44.63528544214343,38.05210441375564,-89.82521230827662,red
2080,Illinois,Richland County,Donald Trump,REP,6089,True,17159,IL,7809,8072,41.9,15881,50.828033499149925,38.71241555982673,-88.08510899511614,red
2087,Illinois,Rock Island County,Joe Biden,DEM,36691,True,17161,IL,71596,73679,40.1,145275,50.716916193426265,41.46732019628519,-90.56737501858308,blue
2094,Illinois,St. Clair County,Joe Biden,DEM,68325,True,17163,IL,127237,136226,38.3,263463,51.70593214227425,38.47033002908368,-89.92838112467138,blue
2101,Illinois,Saline County,Donald Trump,REP,8103,True,17165,IL,11962,12269,42.0,24231,50.63348603029178,37.753172451338926,-88.54075228495117,red
2108,Illinois,Sangamon County,Donald Trump,REP,53485,True,17167,IL,94876,102785,40.0,197661,52.00064757337057,39.75816618198051,-89.65887689980788,red
2115,Illinois,Schuyler County,Donald Trump,REP,2773,True,17169,IL,3701,3363,45.8,7064,47.607587768969424,40.15802994896193,-90.6150735384308,red
2122,Illinois,Scott County,Donald Trump,REP,2114,True,17171,IL,2460,2587,44.1,5047,51.2581731721815,39.644124026969,-90.47470012895272,red
2129,Illinois,Shelby County,Donald Trump,REP,9426,True,17173,IL,10791,11041,44.8,21832,50.57255404910224,39.39113855185178,-88.80553885746764,red
2136,Illinois,Stark County,Donald Trump,REP,2004,True,17175,IL,2716,2784,45.1,5500,50.61818181818182,41.09333902551173,-89.7974727579744,red
2143,Illinois,Stephenson County,Donald Trump,REP,12521,True,17177,IL,21986,23447,45.1,45433,51.60786212664803,42.35172178233953,-89.6623640191516,red
2150,Illinois,Tazewell County,Donald Trump,REP,42513,True,17179,IL,65987,67865,40.9,133852,50.70152108298718,40.50752986084522,-89.51341811337454,red
2157,Illinois,Union County,Donald Trump,REP,6161,True,17181,IL,8592,8535,43.7,17127,49.83359607637065,37.471232788925136,-89.25511205433808,red
2164,Illinois,Vermilion County,Donald Trump,REP,20725,True,17183,IL,38967,39440,40.3,78407,50.30163123190532,40.183416435897776,-87.7328147124891,red
2171,Illinois,Wabash County,Donald Trump,REP,4237,True,17185,IL,5666,5907,43.6,11573,51.04121662490279,38.44604921071684,-87.84430346847722,red
2178,Illinois,Warren County,Donald Trump,REP,4676,True,17187,IL,8353,8985,39.3,17338,51.82258622678509,40.84881676011244,-90.61501039462986,red
2185,Illinois,Washington County,Donald Trump,REP,6115,True,17189,IL,7108,7047,43.4,14155,49.78452843518191,38.35216945067585,-89.4104700483041,red
2192,Illinois,Wayne County,Donald Trump,REP,7176,True,17191,IL,8141,8346,43.3,16487,50.62170194698854,38.42957655137391,-88.42556023715997,red
2199,Illinois,White County,Donald Trump,REP,5791,True,17193,IL,6882,7143,44.1,14025,50.93048128342246,38.08747726000744,-88.1795551880565,red
2206,Illinois,Whiteside County,Donald Trump,REP,14527,True,17195,IL,27799,28597,43.2,56396,50.70749698560182,41.75627873396718,-89.91409401353253,red
2213,Illinois,Will County,Joe Biden,DEM,183915,True,17197,IL,341816,346881,37.6,688697,50.36772339650093,41.44504270382514,-87.97864242148339,blue
2220,Illinois,Williamson County,Donald Trump,REP,22801,True,17199,IL,33607,33692,40.9,67299,50.06315101264506,37.73025419311814,-88.92991758511597,red
2227,Illinois,Winnebago County,Joe Biden,DEM,64056,True,17201,IL,139748,146426,39.6,286174,51.166772662785576,42.33625892217973,-89.16086010839521,blue
2234,Illinois,Woodford County,Donald Trump,REP,14799,True,17203,IL,19343,19474,40.0,38817,50.16874050029626,40.78821820261186,-89.21112229265579,red
2241,Indiana,Adams County,Donald Trump,REP,10686,True,18001,IN,17561,17634,33.4,35195,50.10370791305583,40.74565523116364,-84.9366159790589,red
2245,Indiana,Allen County,Donald Trump,REP,92083,True,18003,IN,180669,189347,35.8,370016,51.17265199342731,41.09088453099658,-85.06657404141417,red
2249,Indiana,Bartholomew County,Donald Trump,REP,22410,True,18005,IN,41150,40743,37.7,81893,49.75150501263844,39.20595128349802,-85.89759073009328,red
2253,Indiana,Benton County,Donald Trump,REP,3007,True,18007,IN,4326,4341,40.5,8667,50.08653513326411,40.60625371339157,-87.31093166056296,red
2257,Indiana,Blackford County,Donald Trump,REP,3841,True,18009,IN,6037,6092,44.3,12129,50.226729326407785,40.47363682229351,-85.32482248007156,red
2261,Indiana,Boone County,Donald Trump,REP,22351,True,18011,IN,31750,32571,38.0,64321,50.638205251784015,40.05079933933479,-86.46870625463869,red
2265,Indiana,Brown County,Donald Trump,REP,5777,True,18013,IN,7441,7593,49.2,15034,50.505520819475855,39.19623153578478,-86.22737678006371,red
2268,Indiana,Carroll County,Donald Trump,REP,7086,True,18015,IN,10034,9960,42.8,19994,49.814944483345,40.582847207631175,-86.56349721619391,red
2272,Indiana,Cass County,Donald Trump,REP,10552,True,18017,IN,19082,19002,40.8,38084,49.89496901585968,40.76153986764884,-86.34598335434868,red
2276,Indiana,Clark County,Donald Trump,REP,33668,True,18019,IN,56359,59343,38.9,115702,51.28951962800989,38.47717759094238,-85.70729854416508,red
2280,Indiana,Clay County,Donald Trump,REP,9499,True,18021,IN,12935,13333,40.9,26268,50.75757575757576,39.39279542882983,-87.11576459254664,red
2284,Indiana,Clinton County,Donald Trump,REP,9334,True,18023,IN,15986,16315,38.2,32301,50.50927215875669,40.30169517995556,-86.47514275048589,red
2288,Indiana,Crawford County,Donald Trump,REP,3483,True,18025,IN,5367,5214,43.6,10581,49.27700595406861,38.29238156814547,-86.45172410530243,red
2292,Indiana,Daviess County,Donald Trump,REP,9576,True,18027,IN,16634,16303,34.7,32937,49.497525579135925,38.7024060738727,-87.0720446045788,red
2296,Indiana,Dearborn County,Donald Trump,REP,19528,True,18029,IN,24764,24737,42.7,49501,49.97272782368033,39.14517193438369,-84.97324273786923,red
2300,Indiana,Decatur County,Donald Trump,REP,9575,True,18031,IN,13202,13350,38.9,26552,50.27869840313347,39.307001474391214,-85.50110907630223,red
2304,Indiana,DeKalb County,Donald Trump,REP,14237,True,18033,IN,21307,21397,39.1,42704,50.105376545522674,41.397570214714456,-84.99905942488385,red
2308,Indiana,Delaware County,Donald Trump,REP,26827,True,18035,IN,55743,59873,35.4,115616,51.78608497093828,40.22754556356436,-85.39689983581057,red
2312,Indiana,Dubois County,Donald Trump,REP,15033,True,18037,IN,21048,21370,40.4,42418,50.37955584893206,38.36427303649641,-86.87981142676438,red
2316,Indiana,Elkhart County,Donald Trump,REP,46972,True,18039,IN,100713,102891,35.5,203604,50.53486179053457,41.59739348654994,-85.85873470418164,red
2320,Indiana,Fayette County,Donald Trump,REP,7755,True,18041,IN,11474,11785,42.6,23259,50.668558407498175,39.64002907719432,-85.17876388409131,red
2324,Indiana,Floyd County,Donald Trump,REP,23400,True,18043,IN,37135,39674,39.9,76809,51.65280110403728,38.31893113704578,-85.90681259382414,red
2328,Indiana,Fountain County,Donald Trump,REP,6154,True,18045,IN,8251,8235,43.1,16486,49.95147397792066,40.120898390231886,-87.24197108216225,red
2332,Indiana,Franklin County,Donald Trump,REP,9691,True,18047,IN,11426,11416,42.0,22842,49.978110498205055,39.41486847890327,-85.06014333272965,red
2336,Indiana,Fulton County,Donald Trump,REP,6694,True,18049,IN,9962,10250,41.3,20212,50.71244805066297,41.04697762486567,-86.2635370243981,red
2340,Indiana,Gibson County,Donald Trump,REP,11817,True,18051,IN,16848,16748,40.3,33596,49.85117275866175,38.31185418110544,-87.58461346877569,red
2344,Indiana,Grant County,Donald Trump,REP,18543,True,18053,IN,31935,35009,40.3,66944,52.29594885277247,40.51580008293558,-85.65471601021068,red
2348,Indiana,Greene County,Donald Trump,REP,11103,True,18055,IN,16033,16262,42.9,32295,50.354544047066106,39.03634430785281,-86.96204482196728,red
2352,Indiana,Hamilton County,Donald Trump,REP,101587,True,18057,IN,154532,161563,36.9,316095,51.112165646403774,40.072479549464575,-86.05202734084591,red
2356,Indiana,Hancock County,Donald Trump,REP,28996,True,18059,IN,36255,37575,39.9,73830,50.8939455505892,39.82355246329077,-85.77325851837486,red
2360,Indiana,Harrison County,Donald Trump,REP,14565,True,18061,IN,19875,19837,42.5,39712,49.95215551974214,38.19517152505245,-86.11130682918797,red
2364,Indiana,Hendricks County,Donald Trump,REP,53802,True,18063,IN,80391,80549,37.7,160940,50.04908661613023,39.76951990450325,-86.50997023079225,red
2368,Indiana,Henry County,Donald Trump,REP,15043,True,18065,IN,25391,23092,42.2,48483,47.629065858135846,39.93106319830469,-85.39642519959389,red
2372,Indiana,Howard County,Donald Trump,REP,26449,True,18067,IN,39852,42535,41.7,82387,51.62829087113258,40.48360753227319,-86.1169593860795,red
2376,Indiana,Huntington County,Donald Trump,REP,13147,True,18069,IN,17875,18503,40.7,36378,50.86315905217439,40.82921962480348,-85.48813053437355,red
2380,Indiana,Jackson County,Donald Trump,REP,14555,True,18071,IN,21822,22116,38.7,43938,50.334562337839685,38.906416400985336,-86.03753972835919,red
2384,Indiana,Jasper County,Donald Trump,REP,11383,True,18073,IN,16699,16750,39.9,33449,50.07623546294359,41.02298757177246,-87.1161183401252,red
2388,Indiana,Jay County,Donald Trump,REP,6361,True,18075,IN,10398,10595,40.0,20993,50.46920402038775,40.43795740161875,-85.00570481094738,red
2392,Indiana,Jefferson County,Donald Trump,REP,9663,True,18077,IN,15333,16904,40.5,32237,52.4366411266557,38.78578871740532,-85.43855043504226,red
2396,Indiana,Jennings County,Donald Trump,REP,9490,True,18079,IN,13925,13802,39.7,27727,49.77819453961842,38.996923297558006,-85.62803435540019,red
2400,Indiana,Johnson County,Donald Trump,REP,51219,True,18081,IN,74349,77215,37.4,151564,50.945475178802354,39.489962242061225,-86.10159622311738,red
2404,Indiana,Knox County,Donald Trump,REP,11655,True,18083,IN,18949,18460,38.0,37409,49.34641396455399,38.6890699422532,-87.4180246740044,red
2408,Indiana,Kosciusko County,Donald Trump,REP,26499,True,18085,IN,39264,39542,38.0,78806,50.17638250894601,41.24407150732547,-85.86071564344066,red
2412,Indiana,LaGrange County,Donald Trump,REP,8110,True,18087,IN,19752,19190,31.4,38942,49.27841405166658,41.64262145134996,-85.42649136538262,red
2416,Indiana,Lake County,Joe Biden,DEM,124870,True,18089,IN,235515,251334,38.7,486849,51.62463104576573,41.41713854420433,-87.38221505948651,blue
2420,Indiana,LaPorte County,Donald Trump,REP,25997,True,18091,IN,57068,53484,40.4,110552,48.37904334611766,41.54598753848309,-86.73996089293485,red
2424,Indiana,Lawrence County,Donald Trump,REP,15601,True,18093,IN,22558,23061,42.8,45619,50.55130537714548,38.84116042551731,-86.48345736328001,red
2428,Indiana,Madison County,Donald Trump,REP,31215,True,18095,IN,64707,64798,40.3,129505,50.03513377861859,40.161610412315575,-85.71935636349004,red
2432,Indiana,Marion County,Joe Biden,DEM,247772,True,18097,IN,455007,489516,34.4,944523,51.82679511245358,39.781711193617234,-86.1384702727316,blue
2436,Indiana,Marshall County,Donald Trump,REP,13844,True,18099,IN,23174,23421,40.1,46595,50.26504989805773,41.324840167674886,-86.26175726749923,red
2440,Indiana,Martin County,Donald Trump,REP,4029,True,18101,IN,5155,5055,42.7,10210,49.51028403525955,38.70801365526136,-86.8030733714071,red
2444,Indiana,Miami County,Donald Trump,REP,10925,True,18103,IN,19084,16817,40.0,35901,46.842706331299965,40.769456371656574,-86.04504973375286,red
2448,Indiana,Monroe County,Joe Biden,DEM,39861,True,18105,IN,72416,72987,29.3,145403,50.19635083182603,39.160910272184005,-86.52312652398106,blue
2452,Indiana,Montgomery County,Donald Trump,REP,12659,True,18107,IN,19442,18834,40.5,38276,49.2057686278608,40.04039733567343,-86.89329763926185,red
2456,Indiana,Morgan County,Donald Trump,REP,27512,True,18109,IN,34447,35280,41.4,69727,50.59732958538299,39.4815696268052,-86.44623079230766,red
2460,Indiana,Newton County,Donald Trump,REP,4942,True,18111,IN,7004,7014,42.9,14018,50.03566842630903,40.95583812396976,-87.39757007530145,red
2464,Indiana,Noble County,Donald Trump,REP,14195,True,18113,IN,23844,23607,38.7,47451,49.75026869823608,41.398602836637686,-85.41749644845041,red
2468,Indiana,Ohio County,Donald Trump,REP,2392,True,18115,IN,2918,2969,47.5,5887,50.433157805333785,38.950078790921296,-84.9650911161703,red
2472,Indiana,Orange County,Donald Trump,REP,6432,True,18117,IN,9727,9820,42.1,19547,50.23788816698215,38.54179057221896,-86.49506132380635,red
2476,Indiana,Owen County,Donald Trump,REP,7286,True,18119,IN,10628,10250,44.9,20878,49.09474087556279,39.31280489945843,-86.83767051132983,red
2480,Indiana,Parke County,Donald Trump,REP,5398,True,18121,IN,8211,8785,41.8,16996,51.688632619439865,39.77363464069859,-87.20637911496482,red
2484,Indiana,Perry County,Donald Trump,REP,5345,True,18123,IN,10222,8919,42.2,19141,46.59631158246695,38.07965285417815,-86.63802268360243,red
2488,Indiana,Pike County,Donald Trump,REP,4692,True,18125,IN,6256,6155,43.7,12411,49.59310289259528,38.398780033004016,-87.23216276062624,red
2492,Indiana,Porter County,Donald Trump,REP,45008,True,18127,IN,83212,84829,39.5,168041,50.48113258073923,41.46054623322723,-87.06725879780336,red
2496,Indiana,Posey County,Donald Trump,REP,9206,True,18129,IN,12787,12802,42.3,25589,50.029309468912416,38.02181793172545,-87.86845961108344,red
2500,Indiana,Pulaski County,Donald Trump,REP,4246,True,18131,IN,6404,6256,41.2,12660,49.41548183254344,41.04185367747528,-86.69879738685349,red
2504,Indiana,Putnam County,Donald Trump,REP,12278,True,18133,IN,19714,17845,37.9,37559,47.51191458771533,39.66628078271651,-86.844995992361,red
2508,Indiana,Randolph County,Donald Trump,REP,8312,True,18135,IN,12269,12807,42.4,25076,51.072738873823575,40.1575877429863,-85.0114427391063,red
2512,Indiana,Ripley County,Donald Trump,REP,11261,True,18137,IN,14077,14348,40.8,28425,50.47669305189094,39.10347556529025,-85.26236518015438,red
2516,Indiana,Rush County,Donald Trump,REP,6035,True,18139,IN,8185,8519,41.6,16704,50.99976053639846,39.61996981088351,-85.46576014729358,red
2520,Indiana,St. Joseph County,Joe Biden,DEM,59896,True,18141,IN,130832,138408,36.5,269240,51.40692319120488,41.61665473590719,-86.28985054577107,blue
2524,Indiana,Scott County,Donald Trump,REP,7328,True,18143,IN,11670,12073,40.7,23743,50.84867118729731,38.68507421898323,-85.74748028616825,red
2528,Indiana,Shelby County,Donald Trump,REP,14568,True,18145,IN,21941,22458,41.0,44399,50.582220320277486,39.523715306495326,-85.79166262943131,red
2532,Indiana,Spencer County,Donald Trump,REP,7357,True,18147,IN,10363,10163,43.6,20526,49.51281301763617,38.014096395972985,-87.00766950958703,red
2536,Indiana,Starke County,Donald Trump,REP,7466,True,18149,IN,11302,11639,41.6,22941,50.73449282943202,41.28093741356948,-86.64762763359609,red
2540,Indiana,Steuben County,Donald Trump,REP,11327,True,18151,IN,17542,16932,43.2,34474,49.1152752799211,41.64389192707598,-85.00085915878145,red
2544,Indiana,Sullivan County,Donald Trump,REP,6691,True,18153,IN,11174,9618,41.0,20792,46.25817622162371,39.08884212786491,-87.41471967132526,red
2548,Indiana,Switzerland County,Donald Trump,REP,3133,True,18155,IN,5504,5124,40.1,10628,48.21226947685359,38.82619748042333,-85.03700185185556,red
2552,Indiana,Tippecanoe County,Joe Biden,DEM,35017,True,18157,IN,96866,92428,28.0,189294,48.82774942681754,40.38861981090344,-86.89405932795191,blue
2556,Indiana,Tipton County,Donald Trump,REP,6110,True,18159,IN,7609,7609,44.9,15218,50.0,40.31134431513603,-86.05185146852709,red
2560,Indiana,Union County,Donald Trump,REP,2688,True,18161,IN,3514,3639,43.8,7153,50.87375926184817,39.62559478519447,-84.92513791015591,red
2564,Indiana,Vanderburgh County,Donald Trump,REP,41844,True,18163,IN,87676,93637,38.1,181313,51.64384241615328,38.02496059839477,-87.58581620626455,red
2568,Indiana,Vermillion County,Donald Trump,REP,5184,True,18165,IN,7809,7751,43.1,15560,49.81362467866324,39.853826991064,-87.46398211720657,red
2572,Indiana,Vigo County,Donald Trump,REP,24545,True,18167,IN,54705,52988,36.2,107693,49.20282655325787,39.4306355791122,-87.38997396415559,red
2576,Indiana,Wabash County,Donald Trump,REP,10762,True,18169,IN,15365,16266,42.2,31631,51.42423571812462,40.84564369759897,-85.79399878786931,red
2580,Indiana,Warren County,Donald Trump,REP,3401,True,18171,IN,4124,4123,44.5,8247,49.99393718928095,40.346937181849086,-87.35330188803933,red
2584,Indiana,Warrick County,Donald Trump,REP,21326,True,18173,IN,30409,31519,40.9,61928,50.89620204107996,38.09217364959559,-87.27208736549615,red
2588,Indiana,Washington County,Donald Trump,REP,9114,True,18175,IN,13892,13935,41.5,27827,50.07726308980487,38.59999799589367,-86.10530521704997,red
2592,Indiana,Wayne County,Donald Trump,REP,17567,True,18177,IN,32288,34325,40.9,66613,51.52898082956781,39.864382355355886,-85.00983824347364,red
2596,Indiana,Wells County,Donald Trump,REP,10855,True,18179,IN,13773,14174,39.8,27947,50.71742941997353,40.72918907332118,-85.22119400261002,red
2600,Indiana,White County,Donald Trump,REP,7957,True,18181,IN,12143,12074,41.9,24217,49.85753809307511,40.74975985544136,-86.86548809081866,red
2604,Indiana,Whitley County,Donald Trump,REP,12862,True,18183,IN,16702,16947,40.8,33649,50.36405242354899,41.13938040548212,-85.50512035141435,red
2608,Iowa,Adair County,Donald Trump,REP,2917,True,19001,IA,3516,3608,45.4,7124,50.6457046603032,41.33074048993052,-94.4709664054588,red
2618,Iowa,Adams County,Donald Trump,REP,1530,True,19003,IA,1854,1872,47.3,3726,50.24154589371981,41.02897522495552,-94.69916585870594,red
2628,Iowa,Allamakee County,Donald Trump,REP,4735,True,19005,IA,7045,6835,44.8,13880,49.24351585014409,43.28428239914959,-91.378053325693,red
2638,Iowa,Appanoose County,Donald Trump,REP,4512,True,19007,IA,6154,6356,45.4,12510,50.80735411670664,40.7431700905196,-92.8686187703517,red
2648,Iowa,Audubon County,Donald Trump,REP,2295,True,19009,IA,2758,2879,49.0,5637,51.073265921589496,41.684602025452975,-94.90581787645112,red
2658,Iowa,Benton County,Donald Trump,REP,9188,True,19011,IA,12783,12843,42.6,25626,50.11706860220089,42.08018645568502,-92.06574296651894,red
2668,Iowa,Black Hawk County,Joe Biden,DEM,35647,True,19013,IA,65309,67700,34.9,133009,50.89881135862987,42.47009068616707,-92.30882457369528,blue
2678,Iowa,Boone County,Donald Trump,REP,8695,True,19015,IA,13310,13089,41.8,26399,49.58142353877041,42.03650207443015,-93.93163339378236,red
2688,Iowa,Bremer County,Donald Trump,REP,8294,True,19017,IA,12274,12508,39.7,24782,50.472116859010576,42.77458652030272,-92.3180539317849,red
2698,Iowa,Buchanan County,Donald Trump,REP,6420,True,19019,IA,10451,10674,38.7,21125,50.52781065088757,42.47080624808688,-91.83784662943094,red
2708,Iowa,Buena Vista County,Donald Trump,REP,5056,True,19021,IA,10238,10022,35.2,20260,49.466929911154985,42.73549598809982,-95.15113459975645,red
2718,Iowa,Butler County,Donald Trump,REP,5542,True,19023,IA,7381,7354,44.1,14735,49.908381404818456,42.73156850708488,-92.79018091855625,red
2728,Iowa,Calhoun County,Donald Trump,REP,3689,True,19025,IA,5044,4736,45.1,9780,48.42535787321064,42.385185505883165,-94.6404036245246,red
2738,Iowa,Carroll County,Donald Trump,REP,7737,True,19027,IA,9988,10356,41.7,20344,50.904443570585926,42.03620789925285,-94.86056560381432,red
2748,Iowa,Cass County,Donald Trump,REP,4969,True,19029,IA,6547,6644,44.9,13191,50.36767492987643,41.3314998205152,-94.92783802566971,red
2758,Iowa,Cedar County,Donald Trump,REP,6161,True,19031,IA,9161,9284,42.0,18445,50.333423692057465,41.77232043897138,-91.1324311662992,red
2768,Iowa,Cerro Gordo County,Donald Trump,REP,12442,True,19033,IA,20850,22134,44.5,42984,51.49357900614182,43.08155752775132,-93.2608136360143,red
2778,Iowa,Cherokee County,Donald Trump,REP,4495,True,19035,IA,5796,5672,46.8,11468,49.459365190094175,42.73561393346282,-95.62381554894704,red
2788,Iowa,Chickasaw County,Donald Trump,REP,4308,True,19037,IA,6058,6041,44.3,12099,49.92974626002149,43.0600514755882,-92.31767550328888,red
2798,Iowa,Clarke County,Donald Trump,REP,3144,True,19039,IA,4689,4593,39.5,9282,49.48287007110537,41.029014285048746,-93.7851537010752,red
2808,Iowa,Clay County,Donald Trump,REP,6137,True,19041,IA,8051,8262,42.7,16313,50.64672347207748,43.08257225781066,-95.15093604388912,red
2818,Iowa,Clayton County,Donald Trump,REP,6106,True,19043,IA,8900,8772,47.1,17672,49.63784517881395,42.84472016820608,-91.3414292275032,red
2828,Iowa,Clinton County,Donald Trump,REP,13361,True,19045,IA,23126,24092,42.2,47218,51.02291499004616,41.89802867609232,-90.53196563427734,red
2838,Iowa,Crawford County,Donald Trump,REP,4854,True,19047,IA,8547,8585,37.8,17132,50.11090357226243,42.03720374512621,-95.38198703127549,red
2848,Iowa,Dallas County,Donald Trump,REP,27987,True,19049,IA,41367,42635,35.3,84002,50.75474393466822,41.68487011516291,-94.03977090170676,red
2858,Iowa,Davis County,Donald Trump,REP,3032,True,19051,IA,4398,4487,37.0,8885,50.500844119302194,40.74769343581546,-92.40971356477584,red
2868,Iowa,Decatur County,Donald Trump,REP,2615,True,19053,IA,4017,4027,36.4,8044,50.06215813028344,40.73769890818721,-93.78628400558628,red
2878,Iowa,Delaware County,Donald Trump,REP,6666,True,19055,IA,8689,8569,43.6,17258,49.65233514891644,42.4712119692007,-91.36733448667805,red
2888,Iowa,Des Moines County,Donald Trump,REP,10592,True,19057,IA,19313,20287,42.6,39600,51.22979797979797,40.92317786385232,-91.18147573534728,red
